STATE,LATITUDE,LONGITUDE,DATETIME,PR,RMAX,RMIN,SPH,SRAD,TMMN,TMMX,VS,BI,FM100,FM1000,ERC,ETR,PET,VPD
VA,37.9894999990845,-78.968883,2018-02-15,0,70.6,44,0.00831,137.4,288.2,296,9.3,40,16.8,20.1,23,7.2,4.6,0.96
VA,37.9894999990845,-78.968883,2018-02-16,0,100,51.9,0.00676,52.4,272,290.3,7.2,31,17.7,20.3,20,2,1.3,0.21
VA,37.9894999990845,-78.968883,2018-02-17,7,81.3,56.8,0.0032,86.7,272.1,277.9,4.5,0,18.8,20.6,12,1.8,1.3,0.22
VA,37.9894999990845,-78.968883,2018-02-18,2.6,78.1,40.5,0.00365,154.3,274.5,284.3,4.6,0,17.9,20.2,14,3.2,2.2,0.43
VA,37.9894999990845,-78.968883,2018-02-19,0,87.7,46.7,0.00496,69.5,277.2,287,5.7,29,17.2,20,22,3.2,2.1,0.43
VA,37.9894999990845,-78.968883,2018-02-20,0,100,44.2,0.00876,170.8,282.4,296.8,7.6,35,17.6,20.1,23,5.4,3.6,0.69
VA,37.9894999990845,-78.968883,2018-02-21,0,99.1,42.3,0.00944,123.1,284.9,298.7,6.5,32,17.8,19.9,22,5.7,3.7,0.86
VA,37.9894999990845,-78.968883,2018-02-22,1.7,100,70.8,0.00835,130.2,278,289.1,3.6,0,19.2,20.3,11,1.2,1.1,0.04
VA,37.9894999990845,-78.968883,2018-02-23,0.4,100,58.1,0.00642,144.1,278.1,287.9,4.1,22,19.5,20.5,18,2.3,1.8,0.28
VA,37.9894999990845,-78.968883,2018-02-24,8.7,100,59.1,0.00843,76.6,281.1,291.9,3.5,0,21.4,21,9,2.1,1.5,0.31
VA,37.9894999990845,-78.968883,2018-02-25,3.1,100,62,0.00756,117.6,281.3,289.5,7.2,0,21.5,21,9,2.8,2,0.3
VA,37.9894999990845,-78.968883,2018-02-26,0,100,41.4,0.0036,76.6,269.9,283.8,3.3,20,20.6,21,17,2.2,1.5,0.32
VA,37.9894999990845,-78.968883,2018-02-27,0,68.1,20.2,0.00245,197.9,270.9,287.3,3.3,25,17.1,20.7,24,4.2,2.8,0.69
VA,37.9894999990845,-78.968883,2018-02-28,1.1,66.4,36.2,0.00416,116.1,278.7,287.8,6,0,15.2,20.2,16,4.8,3.1,0.64
VA,37.9894999990845,-78.968883,2018-03-01,5.7,100,66,0.00615,52.8,275.1,285.8,6.1,0,18,20.8,12,1.3,0.9,0.13
VA,37.9894999990845,-78.968883,2018-03-02,0,63.4,37,0.0023,198.6,270.8,279.3,17,61,15.4,20.5,25,4.5,2.9,0.37
VA,37.9894999990845,-78.968883,2018-03-03,0,61.6,24.2,0.00203,217.3,269.5,283.1,10.7,52,13.3,19.6,30,5.6,3.6,0.53
VA,37.9894999990845,-78.968883,2018-03-04,0,64.9,22.8,0.00206,220.5,269,284.1,6.4,41,11.9,18.9,33,4.9,3.2,0.56
VA,37.9894999990845,-78.968883,2018-03-05,0,48,21.2,0.00161,225.3,269.7,281.4,3.7,32,10.5,18.4,36,3.9,2.6,0.53
VA,37.9894999990845,-78.968883,2018-03-06,0,61.7,45.4,0.00261,72.2,272.9,278.4,4.1,29,10.6,18.2,31,2.5,1.7,0.34
VA,37.9894999990845,-78.968883,2018-03-07,0,86.8,39.2,0.0029,108,269.7,281.9,6.3,38,11.7,18,32,3.2,2.1,0.35
VA,37.9894999990845,-78.968883,2018-03-08,0,53.8,28,0.00165,130.2,268.5,278.2,7.4,45,10.7,17.5,36,3.8,2.5,0.4
VA,37.9894999990845,-78.968883,2018-03-09,0,58.2,28.1,0.00169,194.4,267.8,278.5,7.3,47,10.1,17.2,38,3.9,2.6,0.39
VA,37.9894999990845,-78.968883,2018-03-10,0,67.7,32.9,0.00235,71.8,270.2,281.2,2.2,26,10.1,16.6,37,2.2,1.6,0.42
VA,37.9894999990845,-78.968883,2018-03-11,3.4,75.6,38,0.0028,189.6,271.1,281.8,3.3,0,11.7,16.5,26,2.9,2.1,0.39
VA,37.9894999990845,-78.968883,2018-03-12,5.3,80.2,64.6,0.00282,105.7,270.4,274.8,5.3,0,14,17,21,1.6,1.2,0.16
VA,37.9894999990845,-78.968883,2018-03-13,0,70.5,37.1,0.00203,182.5,267.7,277.5,8,46,13,16.9,34,3.3,2.2,0.31
VA,37.9894999990845,-78.968883,2018-03-14,0,55.1,34,0.00165,180.5,268.2,275.7,9.3,52,11.7,16.5,37,3.5,2.3,0.32
VA,37.9894999990845,-78.968883,2018-03-15,0,61.4,24.4,0.00228,233.5,271.1,284.7,10.3,61,10.7,16.1,41,6.1,4,0.59
VA,37.9894999990845,-78.968883,2018-03-16,0,55.8,22.6,0.00187,249.3,269.7,282.8,7.1,50,9.9,15.9,42,5.2,3.5,0.55
